age,workclass,marital_status,occupation,race,sex,native_country,income
20-24,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
20-24,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
20-24,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
20-24,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
20-24,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
20-24,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
20-24,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,1
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,1
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,1
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,1
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,1
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,1
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,1
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,1
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,North America,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-34,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-39,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
20-39,Non-Government,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
20-39,Non-Government,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
20-39,Non-Government,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
20-39,Non-Government,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
20-39,Non-Government,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
25-29,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,0
25-29,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,0
25-29,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,1
25-29,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,0
25-29,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,1
25-29,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,1
30-34,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-34,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-34,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35-39,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35-39,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35-39,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35-39,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35-39,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35-39,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35-39,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
35-39,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35-39,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
20-39,Local-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,0
20-39,Local-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,1
20-39,Local-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,0
20-39,Local-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,1
20-39,Local-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,0
20-39,Local-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,1
20-39,Local-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,0
20-39,Local-gov,Married-civ-spouse,Adm-clerical,White,Male,North America,1
20-29,State-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
20-29,State-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
20-29,State-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
20-29,State-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
30-39,State-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
30-39,State-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
30-39,State-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
30-39,State-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,0
20-29,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,1
20-29,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Farming-fishing,White,Male,United-States,1
30-39,Private,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-39,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-39,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-39,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-39,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,North America,0
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,North America,0
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,North America,0
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,North America,1
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,North America,0
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,North America,0
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,North America,1
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,North America,1
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,North America,0
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,North America,1
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,1
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,1
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,1
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,1
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,*,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,Private,spouse present,Farming-fishing,White,Male,United-States,0
20-29,Private,spouse present,Farming-fishing,White,Male,United-States,1
20-29,Private,spouse present,Farming-fishing,White,Male,United-States,1
20-29,Private,spouse present,Farming-fishing,White,Male,United-States,0
20-29,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-29,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,1
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,1
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
30-34,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,1
35-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,1
35-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,1
20-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-39,Non-Government,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
20-24,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,1
20-24,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-24,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-24,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-24,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-24,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,1
20-24,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-24,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-24,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,1
20-24,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,1
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,1
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,1
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,1
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,1
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,1
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,1
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
25-29,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
30-39,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,1
30-39,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,0
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,1
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,1
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,1
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,1
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,0
30-34,Private,Married-civ-spouse,Transport-moving,White,Male,North America,1
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,1
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,1
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,1
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,1
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,1
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,1
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,1
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,1
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
35-39,Non-Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-29,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-29,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-29,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-29,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-29,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,1
30-39,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,1
30-39,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,1
30-39,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,1
30-39,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,0
30-39,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,1
20-39,Self-emp-not-inc,Married-civ-spouse,Transport-moving,White,Male,United-States,1
20-39,Self-emp-not-inc,Married-civ-spouse,Transport-moving,White,Male,United-States,1
20-39,Self-emp-not-inc,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-39,Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-39,Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-39,Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-39,Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-39,Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-39,Government,Married-civ-spouse,Transport-moving,White,Male,United-States,0
20-29,Private,spouse present,Protective-serv,White,Male,United-States,0
20-29,Private,spouse present,Protective-serv,White,Male,United-States,0
20-29,Private,spouse present,Protective-serv,White,Male,United-States,0
20-29,Private,spouse present,Protective-serv,White,Male,United-States,0
20-29,Private,spouse present,Protective-serv,White,Male,United-States,1
20-29,Private,spouse present,Protective-serv,White,Male,United-States,0
20-29,Private,spouse present,Protective-serv,White,Male,United-States,1
30-39,Non-Government,Married-civ-spouse,Protective-serv,White,Male,North America,0
30-39,Non-Government,Married-civ-spouse,Protective-serv,White,Male,North America,0
30-39,Non-Government,Married-civ-spouse,Protective-serv,White,Male,North America,0
30-39,Non-Government,Married-civ-spouse,Protective-serv,White,Male,North America,1
20-39,Federal-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
20-39,Federal-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
20-39,Federal-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
20-39,Federal-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
20-39,Federal-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
20-39,Federal-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
20-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
25-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
25-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
25-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
25-29,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
30-34,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,0
35-39,Local-gov,Married-civ-spouse,Protective-serv,White,Male,United-States,1
